shipment_id,order_id,created_ts,origin_city,dest_city,hub_type,carrier,vehicle_type,status,distance_km,package_weight_kg,package_volume_cm3,promised_days,delivery_days,shipping_cost_ars,on_time,customer_rating,incident,seller_type,service_level,payment_method
SHP835027767639,ORD60227680402,2025-04-13 14:41:00,CABA,Merlo,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,27.67,1.739,5074,1,1.0,1158.27,1.0,5.0,ADDRESS_ISSUE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP838351402543,ORD50165258086,2025-12-15 03:34:00,san martín,,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,53.32,0.945,14189,2,1.0,1502.14,1.0,4.9,NONE,PRO,ECONOMY,CREDIT_CARD
SHP466640137525,ORD31930086875,2025-09-28 15:52:00,Escobar,Ituzaingó ,FULFILLMENT,OCA,VAN,OUT_FOR_DELIVERY,45.21,3.889,4255,4,,2137.0,,,NONE,PRO,ECONOMY,CREDIT_CARD
SHP923529256086,ORD93586857022,2025-04-17 04:15:00,CABA,Lomas de Zamora,CROSS_DOCK,Andreani,BIKE,DELIVERED,11.6,0.419,5479,1,2.0,786.25,0.0,4.3,NONE,PRO,NEXT_DAY,
SHP910604435764,ORD02126332296,2025-03-13 09:16:00,,La Plata,FULFILLMENT,Mercado Envíos,VAN,RETURNED,38.57,4.346,23902,1,1.0,1683.98,,,NONE,PARTICULAR,NEXT_DAY,CREDIT_CARD
SHP746536703469,ORD61713965687,2025-07-08 03:34:00,CABA,Ituzaingó,DROP_OFF,Andreani,VAN,DELIVERED,16.46,2.918,3302,4,2.0,1035.47,1.0,5.0,NONE,PARTICULAR,NEXT_DAY,MERCADO_CREDITO
SHP530735576301,ORD20322983639,2025-01-21 20:43:00,Berazategui,Quilmes,CROSS_DOCK,Urbano,VAN,DELIVERED,12.3,1.476,7284,1,3.0,977.93,0.0,3.2,NONE,PRO,STANDARD,CREDIT_CARD
SHP366228778350,ORD42252583295,2025-04-13 17:31:00, La Plata,Morón,CROSS_DOCK,Mercado Envíos,TRUCK,DELIVERED,32.43,1.12,2572,1,2.0,1272.63,0.0,5.0,NONE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP759627958365,ORD00167403959,2025-05-02 05:15:00,Ituzaingó,Florencio Varela,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,45.09,1.491,8649,10,3.0,1587.34,1.0,3.8,NONE,PRO,STANDARD,CASH
SHP460212450509,ORD80765261449,2025-08-03 12:52:00,,Avellaneda,CROSS_DOCK,Mercado Envíos,VAN,DELIVERED,28.8,1.029,9024,3,3.0,1585.3,1.0,4.3,NONE,PARTICULAR,STANDARD,MERCADO_CREDITO
SHP127551808030,ORD82519826617,2025-11-27 15:13:00,CABA,CABA,FULFILLMENT,Andreani,VAN,IN_SORTING,48.42,0.534,4304,1,,1468.23,,,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP959535130547,ORD57503098830,2025-03-29 16:29:00,CABA,Merlo,FULFILLMENT,Andreani,VAN,RETURNED,47.5,0.556,15083,1,1.0,1448.42,,,NONE,PARTICULAR,STANDARD,CREDIT_CARD
SHP703014366086,ORD89040771452,2026-01-08 20:31:00,Berazategui,Quilmes,FULFILLMENT,Mercado Envíos,TRUCK,DELIVERED,23.05,2.477,4310,2,1.0,1490.29,1.0,4.1,NONE,PRO,STANDARD,CREDIT_CARD
SHP571862133860,ORD84257239645,2025-04-10 16:28:00,CABA,San Isidro,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,28.39,3.116,4312,2,3.0,1326.24,0.0,,NONE,PARTICULAR,STANDARD,DEBIT_CARD
SHP412881346338,ORD12352206298,2025-12-26 16:29:00,CABA,Lomas de Zamora,DROP_OFF,Correo Argentino,VAN,DELIVERED,31.28,1.183,2238,2,3.0,977.92,0.0,3.8,NONE,PRO,STANDARD,CREDIT_CARD
SHP932473380438,ORD02621954781,2025-06-01 19:51:00,La Plata,San Martín,SORTING_CENTER,Mercado Envíos,VAN,DELIVERED,60.75,1.854,1117,10,4.0,1904.49,1.0,4.6,NONE,PRO,STANDARD,CREDIT_CARD
SHP387747584084,ORD04447690438,2025-05-11 15:50:00,La Plata,San Isidro,FULFILLMENT,Urbano,TRUCK,DELIVERED,51.0,5.02,7927,1,3.0,2086.83,0.0,4.4,ADDRESS_ISSUE,PRO,STANDARD,CREDIT_CARD
SHP654658082448,ORD21442294850,2025-05-30 12:22:00,Avellanadaa,Avellaneda,SORTING_CENTER,Mercado Envíos,VAN,DELIVERED,29.53,2.217,17653,2,1.0,1419.42,1.0,4.1,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP530370796542,ORD98998142403,2025-11-05 14:22:00,Morón,Avellaneda,FULFILLMENT,Correo Argentino,MOTO,PICKED_UP,56.26,0.824,2115,3,,1696.05,,,NONE,PRO,ECONOMY,CREDIT_CARD
SHP394978149726,ORD92744995712,2025-09-15 19:50:00,Ezeiza,Pilar,FULFILLMENT,Correo Argentino,VAN,DELIVERED,30.37,1.928,5047,5,1.0,1319.33,1.0,4.3,NONE,PRO,STANDARD,CREDIT_CARD
SHP568715797264,ORD95570558190,2025-12-10 09:47:00,La Plata,Ituzaingó,FULFILLMENT,Mercado Envíos,BIKE,IN_TRANSIT,27.56,1.732,3390,10,,1108.33,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP170503493644,ORD15621825645,2026-02-18 15:20:00,San Martín,CABA,FULFILLMENT,Urbano,TRUCK,DELIVERED,21.6,1.233,4422,10,1.0,1076.71,1.0,,NONE,PRO,ECONOMY,CREDIT_CARD
SHP686199689146,ORD59272362370,2025-10-21 21:10:00,CABA,La Plata,FULFILLMENT,Correo Argentino,TRUCK,DELIVERED,50.84,1.952,3240,4,2.0,1725.85,1.0,3.9,NONE,PRO,STANDARD,CREDIT_CARD
SHP748391918111,ORD49902298831,2026-01-21 23:50:00,Morón,Tigre,FULFILLMENT,OCA,TRUCK,DELIVERED,59.54,2.229,8710,2,1.0,2150.42,1.0,5.0,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP331371819925,ORD87696082691,2025-07-11 11:22:00,San Martín, Quilmes,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,39.66,1.589,1532,4,1.0,1303.57,1.0,2.5,NONE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP335000539362,ORD11526726249,2025-10-04 23:24:00,San Miguel,Escobar,CROSS_DOCK,Mercado Envíos,AIR,DELIVERED,18.42,1.651,2576,2,1.0,980.68,1.0,4.5,NONE,PRO,NEXT_DAY,CREDIT_CARD
SHP884929841545,ORD80420762754,2025-06-10 22:07:00,Pilar,Escobar,FULFILLMENT,Mercado Envíos,VAN,RETURNED,49.28,1.404,1322,4,1.0,1436.4,,,ADDRESS_ISSUE,PRO,SAME_DAY,CREDIT_CARD
SHP530715495495,ORD00895851138,2025-11-10 20:43:00,Florencio Varela,Avellaneda,CROSS_DOCK,Correo Argentino,AIR,DELIVERED,34.3,1.087,3903,3,2.0,1578.37,1.0,4.3,NONE,PRO,SAME_DAY,MERCADO_CREDITO
SHP769391455181,ORD78822178461,2025-01-22 04:53:00,San Miguel,Pilar,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,19.81,0.941,2194,4,1.0,965.65,1.0,5.0,NONE,PARTICULAR,NEXT_DAY,CREDIT_CARD
SHP221440996979,ORD98988073988,2025-09-10 14:17:00,CABA,Lomas de Zamora,FULFILLMENT,Flash,VAN,DELIVERED,23.96,1.981,13899,1,1.0,1134.26,1.0,4.2,NONE,PRO,STANDARD,CREDIT_CARD
SHP249457013135,ORD82718828437,2025-08-24 13:11:00,Ituzaingó,Quilmes,CROSS_DOCK,Urbano,BIKE,RETURNED,20.85,1.141,949,2,2.0,878.47,,,NONE,PRO,ECONOMY,MERCADO_CREDITO
SHP760248321440,ORD20138926395,2025-12-11 04:13:00,CABA,Avellaneda,DROP_OFF,Mercado Envíos,MOTO,CREATED,41.52,1.873,6131,10,,1576.18,,,NONE,PRO,NEXT_DAY,CREDIT_CARD
SHP026157935684,ORD91919214736,2025-02-18 19:16:00,Tigre ,Lomas de Zamora,FULFILLMENT,Correo Argentino,VAN,DELIVERED,53.98,1.131,2734,4,3.0,1904.98,1.0,5.0,NONE,PRO,STANDARD,CREDIT_CARD
SHP503458988645,ORD53527095776,2025-02-28 12:27:00,CABA,Hurlingham,FULFILLMENT,OCA,TRUCK,OUT_FOR_DELIVERY,5.95,0.774,3771,1,,716.76,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP792772474504,ORD30633873344,2025-06-19 07:23:00,Merlo,Tigre,SORTING_CENTER,Mercado Envíos,VAN,IN_TRANSIT,10.06,2.181,1886,2,,742.88,,,NONE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP855686847676,ORD21496963502,2025-07-07 15:12:00,CABA,Berazategui,SORTING_CENTER,Urbano,TRUCK,IN_TRANSIT,27.37,0.498,2173,2,,1018.98,,,NONE,PARTICULAR,STANDARD,CREDIT_CARD
SHP967971117536,ORD45644249710,2025-09-28 19:48:00,Lomas de Zamora,Ituzaingó,SORTING_CENTER,Mercado Envíos,TRUCK,CANCELLED,5.6,0.832,7821,2,2.0,803.57,,,NONE,PRO,ECONOMY,CREDIT_CARD
SHP211226926697,ORD56387621024,2025-07-09 04:30:00,San Martín,Lomas de Zamora,FULFILLMENT,Mercado Envíos,VAN,IN_SORTING,40.55,1.986,8103,1,,1701.71,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP071043899336,ORD80461642607,2025-06-24 16:33:00,Quilmes,Morón,FULFILLMENT,Urbano,MOTO,RETURNED,17.93,0.9,6812,1,1.0,1211.13,,,ADDRESS_ISSUE,PARTICULAR,STANDARD,TRANSFER
SHP007790485914,ORD71419502848,2025-02-20 11:09:00,San Martín,CABA,FULFILLMENT,MOTOMENSAJERIA,BIKE,DELIVERED,10.53,0.794,7189,4,1.0,754.56,1.0,3.6,NONE,PRO,STANDARD,CREDIT_CARD
SHP756269579333,ORD69598675858,2025-12-30 15:11:00,Florencio Varela,Merlo,SORTING_CENTER,Mercado Envíos,VAN,DELIVERED,32.77,1.105,2979,2,3.0,1380.2,0.0,4.6,NONE,PARTICULAR,ECONOMY,CASH
SHP714843529643,ORD74226756202,2025-02-24 19:15:00,San Isidro,Escobar,FULFILLMENT,Mercado Envíos,MOTO,CANCELLED,102.69,1.594,2649,4,4.0,2643.68,,,NONE,PARTICULAR,STANDARD,CASH
SHP823638648460,ORD23512670454,2025-09-01 02:38:00,Tigre,Vicente López,DROP_OFF,Mercado Envíos,MOTO,DELIVERED,50.96,1.168,7910,3,3.0,1660.44,1.0,5.0,NONE,PRO,STANDARD,CREDIT_CARD
